,age,race,sex,priors_count,c_charge_degree,days_served
0,42.297432,0.9895377,0.99978846,0.52300805,0.0014251313,2.9143872
1,21.815056,0.0037109524,0.99726653,-0.066168346,0.0018597982,1.3037724
2,33.963608,1.0026602,0.99438494,1.1873212,0.80426824,0.6135239
3,27.92579,0.0015105872,0.9998171,2.1137166,0.0022353672,2.7858768
4,25.830725,-0.0028256208,0.61462593,15.351144,0.9956639,16.606804
5,22.927952,-0.0034405321,0.99807966,1.9443358,0.9975243,2.6545663
6,34.26778,-0.0010211201,1.0025187,0.2193162,-0.00027789254,1.9877601
7,38.090565,-0.026910815,0.98821527,4.9042664,0.033196792,0.94648784
8,23.749596,0.0024339824,0.9985369,1.0234051,0.0025623285,1.1229405
9,38.619797,-0.022971842,1.0063896,16.97968,1.0085385,1.11169
10,44.331493,-0.002314958,0.9953377,3.8701742,-0.00062497036,46.44769
11,32.13646,0.0015289454,0.9988448,1.5354354,-0.00015346783,13.695496
12,29.7913,0.9994385,0.99862814,5.6183324,-0.0011351266,240.5005
13,48.46614,1.0003984,0.9984831,0.14663191,0.00074960216,1.7002349
14,28.509563,-0.0033088059,1.0001695,12.0158,0.9965868,4.261493
15,45.411636,0.0054431823,0.4369767,0.017490348,0.32798064,1.1220698
16,22.045433,-0.00880039,-0.6449437,0.81165594,0.9950296,1.7821431
17,22.729143,0.998748,0.9992667,0.32064793,0.0018789015,5.0175223
18,68.37926,0.9905141,0.9961318,2.7630014,1.0009519,2.138435
19,44.79559,-0.0118713705,-0.43623412,12.496937,1.0000834,11.578852
20,32.903114,0.9904687,1.0000815,8.141007,1.0046521,78.88044
21,58.74118,-0.0022048682,0.99745363,8.5880785,0.07405327,2.5583682
22,26.38713,-0.0011107655,1.0006372,5.3156466,0.0009090446,2.1098142
23,22.40634,-0.0004450412,1.0010698,3.7017076,-0.002572701,4.0314164
24,26.242216,-0.0012025865,0.9968028,10.580618,-0.0017631509,4.5209184
25,32.984833,-0.0011031957,1.000662,11.736598,0.0041804453,1.7762904
26,62.137615,1.0030519,0.9984069,1.8099896,0.0008308731,26.927296
27,27.783913,0.9925266,0.9984745,1.6282148,1.0024465,1.5887256
28,57.104992,0.0029586821,-1.2118161,0.80453724,1.04172,4.852959
29,26.340218,0.5585692,1.0014023,2.6923816,0.9969443,2.2248635
30,40.110497,0.99900347,1.0016502,1.2525313,0.53156775,66.06857
31,26.683434,-0.00083569,0.99606806,0.6164159,0.0011492512,0.68115276
32,42.143898,1.0023278,1.0006949,1.0546634,0.00020070297,1.3349738
33,36.02685,0.0044699577,0.9927265,0.894932,0.0012369893,3.7618032
34,27.29523,-0.00086343597,0.9997037,6.193979,0.0022880577,1.4194236
35,33.06611,0.0014237134,0.9989718,0.107453786,-0.0006162979,2.2884498
36,36.465183,-0.0031971962,0.9975378,21.424433,0.007258012,2.8158565
37,43.497456,0.050008085,1.0045118,-0.18339567,1.0001761,10.425589
38,23.031897,-0.0011138351,1.0004059,0.1207008,-0.0027364052,1.5497327
39,25.101921,0.0067009595,1.0026023,18.519405,0.0027689182,52.992462
40,24.686045,0.42542228,0.7390142,9.318815,0.52500254,5.2980037
41,42.350914,1.0013411,0.9950592,0.08027621,0.00069965346,0.24167295
42,23.480743,0.00023746179,1.0032856,1.4252262,0.012743159,2.8010087
43,35.13488,-0.00020826174,0.40148395,3.7198122,-4.930872e-05,3.680081
